,x,y
AL,-86.8287,32.7794
AR,-92.4426,34.8938
AZ,-111.6602,34.2744
CA,-119.4696,37.1841
CO,-105.5478,38.9972
CT,-72.7273,41.6219
DE,-75.505,38.9896
FL,-82.4497,28.6305
GA,-83.4426,32.6415
IA,-93.496,42.0751
ID,-114.613,44.3509
IL,-89.1965,40.0417
IN,-86.2816,39.8942
KS,-98.3804,38.4937
KY,-85.3021,37.5347
LA,-91.9968,31.0689
MA,-71.8083,42.2596
MD,-76.7909,39.055
ME,-69.2428,45.3695
MI,-85.4102,44.3467
MN,-94.3053,46.2807
MO,-92.458,38.3566
MS,-89.6678,32.7364
MT,-109.6333,47.0527
NC,-79.3877,35.5557
ND,-100.4659,47.4501
NE,-99.7951,41.5378
NH,-71.5811,43.6805
NJ,-74.6728,40.1907
NM,-106.1126,34.4071
NV,-116.6312,39.3289
NY,-75.5268,42.9538
OH,-82.7937,40.2862
OK,-97.4943,35.5889
OR,-120.5583,43.9336
PA,-77.7996,40.8781
RI,-71.5562,41.6762
SC,-80.8964,33.9169
SD,-100.2263,44.4443
TN,-86.3505,35.858
TX,-99.3312,31.4757
UT,-111.6703,39.3055
VA,-78.8537,37.5215
VT,-72.6658,44.0687
WA,-120.4472,47.3826
WI,-89.9941,44.6243
WV,-80.6227,38.6409
WY,-107.5512,42.9957
